Dia,Hora,HBV,15 min,01 h,04 h,24 h,96 h

01/04/2006,00:07:40,nan,0.0,0.0,0.0,0.0,1.0

01/04/2006,00:22:40,nan,0.0,0.0,0.0,0.0,1.0

01/04/2006,00:37:40,nan,0.0,0.0,0.0,0.0,1.0

01/04/2006,00:52:40,nan,0.0,0.0,0.0,0.0,1.0

01/04/2006,01:07:40,nan,0.0,0.0,0.0,0.0,1.0

01/04/2006,01:22:40,nan,0.0,0.0,0.0,0.0,1.0

01/04/2006,01:37:40,nan,0.0,0.0,0.0,0.0,1.0

01/04/2006,01:52:40,nan,0.0,0.0,0.0,0.0,1.0

01/04/2006,02:07:40,nan,0.0,0.0,0.0,0.0,1.0

01/04/2006,02:22:40,nan,0.0,0.0,0.0,0.0,1.0

01/04/2006,02:37:40,nan,0.0,0.0,0.0,0.0,1.0

01/04/2006,02:52:40,nan,0.0,0.0,0.0,0.0,1.0

01/04/2006,03:07:40,nan,0.0,0.0,0.0,0.0,1.0

01/04/2006,03:22:40,nan,0.0,0.0,0.0,0.0,1.0

01/04/2006,03:37:40,nan,0.0,0.0,0.0,0.0,1.0

01/04/2006,03:52:40,nan,0.0,0.0,0.0,0.0,1.0

01/04/2006,04:07:40,nan,0.0,0.0,0.0,0.0,1.0

01/04/2006,04:22:40,nan,0.0,0.0,0.0,0.0,1.0

01/04/2006,04:37:40,nan,0.0,0.0,0.0,0.0,1.0

01/04/2006,04:52:40,nan,0.0,0.0,0.0,0.0,1.0

01/04/2006,05:07:40,nan,0.8,0.8,0.8,0.8,1.8

01/04/2006,05:22:40,nan,1.4,2.2,2.2,2.2,3.2

01/04/2006,05:37:40,nan,0.2,2.4,2.4,2.4,3.4

01/04/2006,05:52:40,nan,0.0,2.4,2.4,2.4,3.4

01/04/2006,06:07:40,nan,0.2,1.8,2.6,2.6,3.6

01/04/2006,06:22:40,nan,0.0,0.4,2.6,2.6,3.6

01/04/2006,06:37:40,nan,0.0,0.2,2.6,2.6,3.6

01/04/2006,06:52:40,nan,0.0,0.2,2.6,2.6,3.6

01/04/2006,07:07:40,nan,0.0,0.0,2.6,2.6,3.6

01/04/2006,07:22:40,nan,0.0,0.0,2.6,2.6,3.6

01/04/2006,07:37:40,nan,0.0,0.0,2.6,2.6,3.6

