Dia,Hora,HBV,15 min,01 h,04 h,24 h,96 h

05/08/2005,23:42:00,nan,0.0,0.0,0.0,nan,nan

05/08/2005,23:57:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,00:12:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,00:27:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,00:42:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,00:57:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,01:12:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,01:27:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,01:42:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,01:57:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,02:12:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,02:27:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,02:42:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,02:57:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,03:12:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,03:27:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,03:42:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,03:57:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,04:12:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,04:27:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,04:42:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,04:57:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,05:12:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,05:27:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,05:42:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,05:57:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,06:12:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,06:27:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,06:42:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,06:57:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,07:12:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,07:27:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,07:42:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,07:57:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,08:12:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,08:27:00,nan,0.0,0.0,0.0,nan,nan

06/08/2005,08:42:00,nan,0.0,0.0,0.0,nan,nan

